STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CURRENCY,Currency
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,INV,Investment spending,EUR,Euro,TOT_INL,Inland,V,Current prices,2018,,25170000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,INV,Investment spending,EUR,Euro,TOT_INL,Inland,V,Current prices,2017,,22255000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,INV,Investment spending,EUR,Euro,TOT_INL,Inland,V,Current prices,2016,,20150000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,INV,Investment spending,EUR,Euro,TOT_INL,Inland,V,Current prices,2015,,19355000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,IWW,Waterways,V,Current prices,2010,,154000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,ROAD,Road,V,Current prices,2010,,348000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2005,,948527538.2,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,FRA,France,A,Annual,MNT,Maintenance spending,EUR,Euro,IWW,Waterways,V,Current prices,2012,,224800000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,FRA,France,A,Annual,MNT,Maintenance spending,EUR,Euro,ROAD,Road,V,Current prices,2012,,3089940000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,FRA,France,A,Annual,MNT,Maintenance spending,EUR,Euro,ROAD,Road,V,Current prices,2005,,2189000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,ROAD,Road,V,Current prices,2017,,655906000,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,MNT,Maintenance spending,EUR,Euro,ROAD,Road,V,Current prices,2017,,396797000,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,TOT_INL,Inland,V,Current prices,2017,,1773396000,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,ROAD,Road,V,Current prices,2015,,778000000,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,TOT_INL,Inland,V,Current prices,2015,,2074993900,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,INV,Investment spending,EUR,Euro,TOT_INL,Inland,V,Current prices,2013,,18360000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,INV,Investment spending,EUR,Euro,TOT_INL,Inland,V,Current prices,2005,,14401000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,TOT_INL,Inland,V,Current prices,2014,,1627978558,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,TOT_INL,Inland,V,Current prices,2010,,1878467073,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,TOT_INL,Inland,V,Current prices,2005,,1260527538,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2013,,6095000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2005,,3411000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,IWW,Waterways,V,Current prices,2015,,291000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2014,,1107978558,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,MNT,Maintenance spending,EUR,Euro,IWW,Waterways,V,Current prices,2011,,58000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,MNT,Maintenance spending,EUR,Euro,IWW,Waterways,V,Current prices,2010,,65000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,MNT,Maintenance spending,EUR,Euro,IWW,Waterways,V,Current prices,2009,,131000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,MNT,Maintenance spending,EUR,Euro,IWW,Waterways,V,Current prices,2008,,87000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,MNT,Maintenance spending,EUR,Euro,IWW,Waterways,V,Current prices,2007,,76000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,MNT,Maintenance spending,EUR,Euro,IWW,Waterways,V,Current prices,2006,,67000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,MNT,Maintenance spending,EUR,Euro,IWW,Waterways,V,Current prices,2005,,66000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,MNT,Maintenance spending,EUR,Euro,IWW,Waterways,V,Current prices,2004,,61000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,MNT,Maintenance spending,EUR,Euro,IWW,Waterways,V,Current prices,2003,,61000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,MNT,Maintenance spending,EUR,Euro,IWW,Waterways,V,Current prices,2002,,51000000,,,,,,0,Units,0,Zero,,
