DATAFLOW,LAST UPDATE,freq,accident,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,AT,2009,3,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,AT,2010,2,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,AT,2011,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,AT,2012,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,AT,2013,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,AT,2014,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,AT,2015,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,AT,2016,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,AT,2017,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,AT,2021,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,AT,2022,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,AT,2023,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,AT,2024,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,BG,2010,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,BG,2011,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,BG,2012,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,BG,2013,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,BG,2014,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,BG,2015,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,BG,2020,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,BG,2021,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,BG,2022,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,1995,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,1996,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,1997,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,1998,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,1999,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2000,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2001,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2002,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2003,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2004,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2005,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2006,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2007,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2008,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2009,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2010,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2011,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2012,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2013,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2014,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2015,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2016,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2017,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2018,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2019,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2020,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2021,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2022,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2023,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,CZ,2024,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,FI,2019,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,FI,2020,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,FI,2021,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2004,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2005,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2006,2,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2007,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2008,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2009,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2010,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2011,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2012,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2013,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2014,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2015,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2016,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2017,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2018,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2019,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2020,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2021,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2022,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2023,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2024,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2008,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2009,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2010,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2011,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2012,2,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2013,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2014,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2015,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2016,2,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2017,1,,
