DATAFLOW,LAST UPDATE,freq,expend,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,AT,2005,14878,,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,AT,2006,9459,,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,AT,2007,14483,,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,AT,2008,13,,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,AT,2009,17,,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,AT,2010,21,,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,AT,2011,9,,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,AT,2012,14,,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,AT,2013,30,,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,AT,2014,6,,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,AT,2016,6,e,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,AT,2018,6,,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,AT,2019,2,e,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,BG,2008,225,,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,BG,2009,343,,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,BG,2010,48,,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,BG,2011,241,p,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,BG,2012,35,p,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,BG,2013,1.687,,
ESTAT:IWW_EC_INVEST(1.0),12/12/24 23:00:00,A,FRVES,MIO_EUR,BG,2014,1.892,,
