DATAFLOW,LAST UPDATE,freq,tra_cov,nst07,typpack,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2008,56,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2009,60,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2010,92,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2011,124,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2012,95,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2013,153,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2014,137,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2015,124,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2016,114,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2017,123,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2018,116,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2019,187,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2020,154,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2021,152,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2022,124,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,AT,2023,81,,
