DATAFLOW,LAST UPDATE,freq,unit,vessel,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2007,819,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2008,796,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2009,653,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2010,751,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2011,677,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2012,719,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2013,756,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2014,689,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2015,676,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2016,744,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2017,799,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2018,612,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2019,658,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2020,658,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2021,694,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2022,619,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2023,578,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,AT,2024,538,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,BE,2007,993,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,BE,2008,932,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,BE,2009,376,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,BE,2010,458,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,BE,2011,467,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,BE,2012,468,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,BE,2013,461,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,BE,2014,446,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,BE,2015,411,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,BE,2016,439,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,BE,2017,503,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,BE,2018,144,b,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,BE,2019,137,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,BE,2020,143,,
