DATAFLOW,LAST UPDATE,freq,unit,natvessr,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,BE,2013-Q2,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,BE,2013-Q3,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,BE,2013-Q4,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,BE,2014-Q4,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,BE,2022-Q3,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU15,2013-Q2,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU15,2013-Q3,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU15,2013-Q4,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU15,2014-Q4,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU25,2013-Q2,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU25,2013-Q3,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU25,2013-Q4,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU25,2014-Q4,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU27_2007,2013-Q2,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU27_2007,2013-Q3,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU27_2007,2013-Q4,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU27_2007,2014-Q4,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU27_2020,2013-Q2,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU27_2020,2013-Q3,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU27_2020,2013-Q4,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU27_2020,2014-Q4,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU27_2020,2022-Q3,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU28,2013-Q2,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU28,2013-Q3,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU28,2013-Q4,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,INTL,EU28,2014-Q4,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,TOTAL,BE,2013-Q2,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,TOTAL,BE,2013-Q3,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,TOTAL,BE,2013-Q4,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,TOTAL,BE,2014-Q4,0,n,
ESTAT:IWW_GO_QNAVE(1.0),17/10/25 23:00:00,Q,MIO_TKM,AD,TOTAL,BE,2022-Q3,0,n,
